TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
343723,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2003,HONDA,CIVIC,GRAY,,1042018,825,"(41.7454888905337, -72.6829600671323)"
343828,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,600ZGL,2003,HONDA,ACCORD,WHI,,1042018,919,"(41.7458482958582, -72.6768466163248)"
343830,,,860-233-7079,CT,AM37895,1997,HONDA,ACCORD,TAN,,1042018,922,"(41.7589998117031, -72.6990911447539)"
343725,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2012,HONDA,CIVIC,GRAY,,1042018,825,"(41.7443366194465, -72.6831194940904)"
343718,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AG31902,1995,HONDA,ACCORD,RED,,1042018,823,"(41.7766955102816, -72.6979867835197)"
343730,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AD12284,2001,HONDA,CRV,RED,,1042018,826,"(41.7444586096645, -72.6844895875975)"
343733,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2003,HONDA,ACCORD,BLUE,,1042018,832,"(41.7819826569127, -72.6757402939658)"
343775,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AA22753,1994,HONDA,ACCORD,TAN,,1042018,849,"(41.7388061085985, -72.7014415142961)"
343773,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2002,HONDA,CIVIC,GRY,,1042018,849,"(41.7308833239733, -72.6998931687628)"
343798,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,00DCFG,1993,HONDA,ACCORD,TAN,,1042018,855,"(41.7386947336725, -72.6801769910114)"
343813,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,893ZGL,2002,HONDA,ACCORD,WHITE,,1042018,915,"(41.770316133515, -72.6921251838103)"
343815,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,PA,KBE3967,2000,HONDA,ACCORD,TAN,,1042018,915,"(41.7730518662138, -72.6944307830497)"
343720,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AM05187,2007,HONDA,ACCORD,YEL,,1042018,823,
343825,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,6AALK7,2001,HONDA,CIV,BLK,,1042018,918,"(41.794228958064, -72.664832336301)"
343833,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AG90711,1999,HONDA,ACCORD,TAN,,1042018,942,"(41.7665217693363, -72.6982648263097)"
343826,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,584XSY,1998,HONDA,ACCORD,GRN,,1042018,918,"(41.7865112493518, -72.675652053408)"
343819,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AG47590,2006,HONDA,ACCORD,BLUE,,1042018,916,"(41.7670392006994, -72.7134797137921)"
343802,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,NJ,S67JDX,2007,HONDA,CRV WAGON,BLK,,1042018,906,"(41.7464962268711, -72.6714268485781)"
343805,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AF50386,2005,HONDA,CIVIC,BLK,,1042018,906,"(41.7403307840959, -72.6712517749788)"
343845,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AJ12883,2001,HONDA,CIV,BLK,,1042018,948,"(41.7391967380199, -72.6916664219979)"
343967,,,860-947-3062,MA,4EG227,2005,HONDA,ACCORD,GRAY,,1042018,1435,"(41.7623787520919, -72.6866259831475)"
343917,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,9AWVB5,1999,HONDA,CIVIC,GREEN,,1042018,1243,"(41.7755913988898, -72.684552229621)"
343954,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AB96385,2000,HONDA,ACCORD,TAN,,1042018,1326,"(41.775769987244, -72.6794393502194)"
343734,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,MA,BM670101,1999,HONDA,ACCORD,PURPLE,,1042018,832,"(41.7906252651566, -72.6796023906799)"
343915,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AK96098,1998,HONDA,ACCORD,BLK,,1042018,1243,"(41.7867449330029, -72.6852845248142)"
343966,,,860-947-3062,CT,AL96367,2013,HONDA,CIVIC,RED,,1042018,1429,"(41.7623547082289, -72.6881312457603)"
344194,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AJ92692,2004,HONDA,ACCORD,BLACK,,1072018,1002,"(41.7531481522419, -72.6759440414448)"
343776,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,2006,HONDA,PILOT,BLK,,1042018,849,"(41.7337336911018, -72.7097813230094)"
343933,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,2AVPU4,2001,HONDA,INSIGHT,BLUE,,1042018,1245,"(41.7660581701842, -72.7044704506052)"
343877,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AF13463,2005,HONDA,ACCORD,GRAY,,1042018,1226,"(41.7594094907318, -72.6894510867345)"
343750,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,1999,HONDA,CIVIC,GRAY,,1042018,837,"(41.7562434719332, -72.6885022966586)"
343936,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,MA,FXF5578,2006,HONDA,ACCORD,GRAY,,1042018,1245,"(41.7660581701842, -72.7044704506052)"
343885,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,IL,Z481895,2007,HONDA,4D,BLUE,,1042018,1229,"(41.7698778145554, -72.6851647928847)"
343892,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AJ95570,2002,HONDA,CIVIC EX,GRAY,,1042018,1230,"(41.7613984736691, -72.7086186108611)"
343997,,,860-216-5474,CT,AJ92773,2003,HONDA,ACCORD,GRAY,,1042018,1720,"(41.7420164846892, -72.6765010520441)"
343893,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AD44926,2003,HONDA,CIVIC EX,BLACK,,1042018,1230,"(41.7616132212968, -72.7086954321333)"
343900,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,,,1992,HONDA,ACCORD,GRY,,1042018,1230,"(41.7566100572386, -72.7123899721825)"
343755,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AC68213,2014,HONDA,ACCORD,GRAY,,1042018,838,"(41.7818897823573, -72.6731109706362)"
343874,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2001,HONDA,ACCORD,BLACK,,1042018,1214,"(41.7946510618186, -72.6793855275292)"
343975,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AG47395,1992,HONDA,ACCORD,WHITE,,1042018,1508,"(41.7797207187531, -72.6830330863649)"
343872,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AH58272,2003,HONDA,CIVIC,GRY,,1042018,1212,"(41.7458546391983, -72.6787859312746)"
343974,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,716VBC,2015,HONDA,ACCORD,BLUE,,1042018,1508,"(41.7781563098981, -72.6731808694037)"
344011,,,860-296-1518,CT,AA10830,2005,HONDA,CIVIC,GRAY,,1042018,1934,"(41.7649903287884, -72.6974040358594)"
343861,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AK21266,2003,HONDA,ACCORD,BLUE,,1042018,1140,"(41.791327961884, -72.6726623695093)"
344007,,,860-296-2826,CT,AG86149,1996,HONDA,CIVIC,RED,,1042018,1827,"(41.7552868111804, -72.675234196307)"
343973,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AJ95178,2002,HONDA,ODYSSEY,GREEN,,1042018,1507,"(41.7951400737383, -72.679551096942)"
343914,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AG63970,1999,HONDA,ACCORD,SILVER,,1042018,1233,"(41.7345848087157, -72.6720258338653)"
343948,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1999,HONDA,ACCORD,GRY,,1042018,1303,"(41.7425737890628, -72.6952314726996)"
343945,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AK57056,2002,HONDA,CIVIC LX,TAN,,1042018,1303,"(41.7288014144491, -72.6949334641001)"
343912,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AG98674,2005,HONDA,CIVIC DX,GRY,,1042018,1233,"(41.7341426887867, -72.6780770510273)"
343951,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2000,HONDA,ODYSSEY,GRY,,1042018,1303,"(41.7458546391983, -72.6787859312746)"
343910,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,,,2009,HONDA,CIVIC,GRY,,1042018,1233,"(41.7337680143572, -72.6780967259379)"
343911,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,,,1993,HONDA,ACCORD,GRN,,1042018,1233,"(41.7337680143572, -72.6780967259379)"
343785,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AF50653,1991,HONDA,CIVIC,GREEN,,1042018,852,"(41.7399571234342, -72.6962973941315)"
343903,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,,,2008,HONDA,ACCORD,WHITE,,1042018,1230,"(41.796428237938, -72.6788908041364)"
344014,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,,,2002,HONDA,ACCORD,WHITE,,1042018,2251,"(41.767755766326, -72.6805101492637)"
344019,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,226ZBA,2012,HONDA,CIVIC,GRAY,,1052018,1026,"(41.7564840914385, -72.7075869967361)"
344031,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AC84629,2001,HONDA,ODYSSEY,GRAY,,1052018,1042,"(41.7614284249976, -72.691635084788)"
344023,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,00DKMN,1996,HONDA,ACCORD,GOLD,,1052018,1026,"(41.7564840914385, -72.7075869967361)"
344064,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,6AWPG9,2012,HONDA,CIVIC,RED,,1052018,1050,"(41.7594615481035, -72.6725676516828)"
344032,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AL34605,2001,HONDA,ACCORD,BLACK,,1052018,1042,"(41.7614284249976, -72.691635084788)"
344135,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,1AHKH3,1999,HONDA,CIVIC,BLACK,,1052018,1224,"(41.7416362223815, -72.7019096280522)"
344129,,,860-947-3062,CT,AJ50747,2005,HONDA,ODYSSEY,RED,,1052018,1423,"(41.7540590393041, -72.6949506208315)"
344066,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,2AUNB4,2004,HONDA,ACCORD,TAN,,1052018,1050,"(41.7550023002434, -72.665241310371)"
344077,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AG94317,2016,HONDA,CIV,WHT,,1052018,1052,"(41.7646434748352, -72.7000773194451)"
344154,,,860-236-2602,CT,AM55086,1998,HONDA,CIVIC,RED,,1052018,1623,"(41.7917291267923, -72.684903055906)"
344102,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH95234,2005,HONDA,ACCORD,BLACK,,1052018,1111,"(41.7948685636084, -72.6760410913178)"
344144,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2003,HONDA,PILOT,GREEN,,1052018,1232,"(41.7823751561717, -72.687879596572)"
344146,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AG91291,2004,HONDA,ACCORD,BLACK,,1052018,1232,"(41.7823751561717, -72.687879596572)"
344108,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AL58819,2007,HONDA,COROLLA,RED,,1052018,1111,"(41.7856734638274, -72.6966121806145)"
344104,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2002,HONDA,ACCORD,BLACK,,1052018,1111,"(41.7948685636084, -72.6760410913178)"
344205,,,860-296-8588,CT,AA47739,2001,HONDA,ACCORD,GOLD,,1072018,2044,"(41.7541812619456, -72.6831701840886)"
344161,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AJ34524,2002,HONDA,ODYSEEY,FREY,,1052018,1901,"(41.7440698039863, -72.6737921323909)"
344169,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AD31159,2007,HONDA,ACCORD,BLK,,1062018,110,"(41.7822228943575, -72.6984085855364)"
344172,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AH93268,2003,HONDA,ACCORD,TAN,,1062018,313,"(41.7812977221631, -72.6734048099303)"
344175,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AK00374,2003,HONDA,CIVIC,BLUE,,1062018,1244,"(41.7531481522419, -72.6759440414448)"
344180,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AG35443,2000,HONDA,CR-V,GREY,,1062018,1904,"(41.7389761277247, -72.6927174706156)"
344183,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL43725,2000,HONDA,CIV,BLUE,,1062018,2142,"(41.7729430112658, -72.6921339035322)"
344192,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2002,HONDA,ACCORD,BLUE,,1072018,706,"(41.7818948857717, -72.6745668384406)"
344196,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH55567,2003,HONDA,ACCORD,BLACK,,1072018,1104,"(41.7724670937964, -72.6932745046213)"
344197,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,1998,HONDA,ACCORD,BLACK,,1072018,1204,"(41.7831748935422, -72.6994202688055)"
344200,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2001,HONDA,ACCORD,TAN,,1072018,1607,"(41.7719034733722, -72.6930148645934)"
344215,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,590YME,2016,HONDA,CRV,BLUE,,1082018,839,"(41.7554363325539, -72.708993160779)"
344230,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AJ37117,2011,HONDA,ACCORD,WHITE,,1082018,1613,"(41.7589998117031, -72.6990911447539)"
344226,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AK91364,2008,HONDA,ACCORD,BLUE,,1082018,1447,"(41.7559496492339, -72.6891721201124)"
344233,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,AG67265,2007,HONDA,ACCORD,SILV,,1082018,1816,"(41.7702096923849, -72.6775067147182)"
344253,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,00DHVC,1996,HONDA,ACCORD,GRAY,,1092018,1140,"(41.7694911885788, -72.6753557248652)"
344257,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2001,HONDA,ACCORD,TAN,,1092018,1242,"(41.7492035384924, -72.6739631379684)"
344256,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2002,HONDA,ODYSSEY,GRAY,,1092018,1210,"(41.760465851126, -72.6890848669286)"
344259,,,860-296-1518,CT,4AKJD2,2005,HONDA,ACCORD,TAN,,1092018,1340,"(41.7724793087826, -72.6928372421875)"
344266,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AK77493,2014,HONDA,ACCORD,GRY,,1092018,1654,"(41.7294649082035, -72.6811436422333)"
344280,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AC47445,2001,HONDA,ACCORD,TAN,,1102018,956,"(41.7874789919115, -72.6729160979586)"
344285,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2000,HONDA,CIVIC,GREEN,,1102018,956,"(41.7874789919115, -72.6729160979586)"
344284,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2000,HONDA,CIVIC,GREEN,,1102018,956,"(41.7874789919115, -72.6729160979586)"
344290,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,1AUPH5,2007,HONDA,ODYSSEEY,RED,,1102018,1000,"(41.7625340970567, -72.6829069927827)"
344299,,,860-236-2602,,,2000,HONDA,ACCORD,TAN,,1102018,1853,"(41.7646434748352, -72.7000773194451)"
344310,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,00EWNC,1994,HONDA,CIVIC,GRAY,,1112018,131,"(41.8053222465286, -72.6955140204903)"
344327,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,,,1993,HONDA,CIVIC,BLUE,,1112018,1244,"(41.7608459408656, -72.6905637091656)"
344335,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,9ABXL2,2011,HONDA,PILOT LX,GRY,,1112018,1844,"(41.7476905354666, -72.6865518435009)"
344349,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,885ZTV,2006,HONDA,ACCORD,GRAY,,1122018,447,"(41.7402263859838, -72.6993548558059)"
344359,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AK00079,2008,HONDA,ACCORD,GRAY,,1122018,1237,"(41.7659056801521, -72.7141192881593)"
344372,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,00FDBN,1997,HONDA,ACCORD,TAN,,1132018,235,"(41.7369118742422, -72.6916241389803)"
344385,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AG86149,1996,HONDA,CIVIC,RED,,1132018,1640,"(41.7628400266462, -72.6824291893468)"
344389,,,860-296-1426,CT,715MCV,1999,HONDA,ACCORD,BLACK,,1132018,1759,"(41.7934246595091, -72.6669571340677)"
344400,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AA35133,2003,HONDA,ACCORD,GREY,,1142018,6,"(41.7937220432269, -72.681679089629)"
344402,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AD448601,2003,HONDA,ACCORD EX,GREY,,1142018,227,"(41.7402263859838, -72.6993548558059)"
344409,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AK51750,2009,HONDA,ACCORD,GRAY,,1142018,1111,"(41.7315389131544, -72.7134112424871)"
344407,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AK28496,1999,HONDA,ACCORD,PURPLE,,1142018,740,"(41.7412265293708, -72.6836789833206)"
344419,WHITEY'S FRAME SHOP,"305 WEST SERVICE RD. HARTFORD, CT 06120",860-246-6871,CT,AH78607,1998,HONDA,ACCORD,BLACK,,1142018,1936,"(41.7764750180423, -72.681040891416)"
344421,BENTON AUTO BODY,"155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,AH89559,2011,HONDA,CRV,GRY,,1152018,135,"(41.8036572524101, -72.7007227707531)"
344430,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AH54977,2004,HONDA,ACCORD,SILVER,,1152018,941,"(41.7815577771147, -72.6857879194815)"
344440,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,CT,7AVLV7,1998,HONDA,CIVIC,WHITE,,1152018,1516,"(41.7636320192134, -72.7094196242721)"
344445,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AK06814,2008,HONDA,ACC,BLK,,1152018,1817,"(41.7587425891687, -72.6694969056521)"
344462,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,1999,HONDA,ACC,BROWN,,1162018,1020,"(41.7651263397238, -72.7072063988657)"
344466,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,1997,HONDA,CR-V,GRN,,1162018,1041,"(41.764592507389, -72.7072939041449)"
344469,,,860-296-1426,CT,AM32827,2005,HONDA,ACCORD,BLACK,,1162018,1207,"(41.7458487936474, -72.682857900576)"
344481,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL75100,1998,HONDA,ACCORD,BLK,,1162018,1845,"(41.7465534433079, -72.6940357518307)"
344492,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,,,2000,HONDA,ACCORD,GREEN,,1172018,231,"(41.7639956692386, -72.688500462431)"
344490,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AH32134,2007,HONDA,ACCORD,GRY,,1172018,221,"(41.7995674398453, -72.6910801651508)"
344510,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2003,HONDA,CIVIC,SILVER,,1172018,825,"(41.7725897658725, -72.6900531174749)"
344549,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AB75609,2003,HONDA,ACCORD,BLACK,,1172018,926,"(41.7612722236067, -72.7152704113269)"
